id,restaurant_id,restaurant,name,description,price,spicy,vegetarian,popular
r-001-i-022,r-001,Operation Falafel,Atayef,Stuffed pancakes with walnuts and syrup,AED 58,false,true,false
r-001-i-023,r-001,Operation Falafel,Arabic Coffee,"Cardamom-spiced coffee, finely brewed",AED 20,false,true,true
r-001-i-024,r-001,Operation Falafel,Fresh Lemonade,"Mint, lemon and ice",AED 41,false,true,false
r-001-i-025,r-001,Operation Falafel,Classic Shawarma Wrap,"Marinated chicken, garlic sauce, pickles in saj bread",AED 22,false,false,false
r-001-i-026,r-001,Operation Falafel,Classic Beef Shawarma,"Spiced beef, tahini, tomato, parsley",AED 24,false,false,false
r-001-i-027,r-001,Operation Falafel,Classic Falafel Plate,Crispy chickpea fritters with tahini and salad,AED 70,false,true,false
r-001-i-028,r-001,Operation Falafel,Classic Hummus,Smooth chickpea dip with olive oil and warm pita,AED 58,false,true,false
r-001-i-029,r-001,Operation Falafel,Classic Moutabal,Smoky grilled eggplant blended with tahini and lemon,AED 57,false,true,false
r-001-i-030,r-001,Operation Falafel,Classic Tabbouleh,"Parsley salad with bulgur, tomato, mint and lemon",AED 46,false,true,false
r-001-i-031,r-001,Operation Falafel,Classic Fattoush,Crunchy fresh salad with sumac and toasted bread,AED 94,false,true,true
r-001-i-032,r-001,Operation Falafel,Classic Mixed Grill,"Skewers of shish taouk, kafta and lamb kebab",AED 93,false,false,false
r-001-i-033,r-001,Operation Falafel,Classic Shish Taouk,Grilled chicken cubes marinated in garlic and yogurt,AED 43,false,false,false
r-001-i-034,r-001,Operation Falafel,Classic Kafta Skewer,"Minced lamb with parsley and onion, charcoal grilled",AED 60,true,false,false
r-001-i-035,r-001,Operation Falafel,Classic Manakish Zaatar,Stone-baked flatbread with zaatar and olive oil,AED 93,false,true,false
r-001-i-036,r-001,Operation Falafel,Classic Manakish Cheese,Stone-baked flatbread with akkawi cheese,AED 40,false,true,false
r-001-i-037,r-001,Operation Falafel,Classic Kibbeh,Bulgur shells stuffed with spiced minced meat,AED 19,false,false,false
r-001-i-038,r-001,Operation Falafel,Classic Sambousek,Crispy pastries filled with cheese or meat,AED 16,false,false,false
r-001-i-039,r-001,Operation Falafel,Classic Warak Enab,"Vine leaves stuffed with rice, tomato and herbs",AED 63,false,true,false
r-001-i-040,r-001,Operation Falafel,Classic Mujadara,Lentils and rice topped with caramelised onions,AED 39,false,true,false
r-001-i-041,r-001,Operation Falafel,Classic Lamb Mandi,Slow-cooked lamb on saffron rice,AED 84,false,false,false
r-001-i-042,r-001,Operation Falafel,Classic Chicken Mandi,Smoky roasted chicken on aromatic rice,AED 52,false,false,false
r-001-i-043,r-001,Operation Falafel,Classic Mixed Mezze,Chef's selection of cold and hot mezze,AED 75,false,true,false
r-001-i-044,r-001,Operation Falafel,Classic Baba Ghanouj,Charred eggplant dip with pomegranate molasses,AED 94,false,true,false
r-001-i-045,r-001,Operation Falafel,Classic Knafeh,Sweet cheese pastry soaked in rose syrup,AED 45,false,true,true
r-001-i-046,r-001,Operation Falafel,Classic Baklava,Layered filo pastry with pistachio and honey,AED 83,false,true,false
r-001-i-047,r-001,Operation Falafel,Classic Atayef,Stuffed pancakes with walnuts and syrup,AED 86,false,true,false
r-001-i-048,r-001,Operation Falafel,Classic Arabic Coffee,"Cardamom-spiced coffee, finely brewed",AED 86,false,true,false
r-001-i-049,r-001,Operation Falafel,Classic Fresh Lemonade,"Mint, lemon and ice",AED 40,false,true,false
r-002-i-000,r-002,Beirut Express,Shawarma Wrap,"Marinated chicken, garlic sauce, pickles in saj bread",AED 26,false,false,true
r-002-i-001,r-002,Beirut Express,Beef Shawarma,"Spiced beef, tahini, tomato, parsley",AED 32,false,false,false
r-002-i-002,r-002,Beirut Express,Falafel Plate,Crispy chickpea fritters with tahini and salad,AED 66,false,true,false
r-002-i-003,r-002,Beirut Express,Hummus,Smooth chickpea dip with olive oil and warm pita,AED 61,false,true,false
r-002-i-004,r-002,Beirut Express,Moutabal,Smoky grilled eggplant blended with tahini and lemon,AED 71,false,true,false
r-002-i-005,r-002,Beirut Express,Tabbouleh,"Parsley salad with bulgur, tomato, mint and lemon",AED 82,false,true,false
r-002-i-006,r-002,Beirut Express,Fattoush,Crunchy fresh salad with sumac and toasted bread,AED 13,false,true,false
r-002-i-007,r-002,Beirut Express,Mixed Grill,"Skewers of shish taouk, kafta and lamb kebab",AED 26,false,false,false
r-002-i-008,r-002,Beirut Express,Shish Taouk,Grilled chicken cubes marinated in garlic and yogurt,AED 80,false,false,false
r-002-i-009,r-002,Beirut Express,Kafta Skewer,"Minced lamb with parsley and onion, charcoal grilled",AED 94,true,false,false
r-002-i-010,r-002,Beirut Express,Manakish Zaatar,Stone-baked flatbread with zaatar and olive oil,AED 49,false,true,false
r-002-i-011,r-002,Beirut Express,Manakish Cheese,Stone-baked flatbread with akkawi cheese,AED 70,false,true,true
r-002-i-012,r-002,Beirut Express,Kibbeh,Bulgur shells stuffed with spiced minced meat,AED 45,false,false,false
r-002-i-013,r-002,Beirut Express,Sambousek,Crispy pastries filled with cheese or meat,AED 34,false,false,false
r-002-i-014,r-002,Beirut Express,Warak Enab,"Vine leaves stuffed with rice, tomato and herbs",AED 25,false,true,false
r-002-i-015,r-002,Beirut Express,Mujadara,Lentils and rice topped with caramelised onions,AED 50,false,true,false
r-002-i-016,r-002,Beirut Express,Lamb Mandi,Slow-cooked lamb on saffron rice,AED 76,false,false,false
r-002-i-017,r-002,Beirut Express,Chicken Mandi,Smoky roasted chicken on aromatic rice,AED 31,false,false,false
r-002-i-018,r-002,Beirut Express,Mixed Mezze,Chef's selection of cold and hot mezze,AED 32,false,true,false
r-002-i-019,r-002,Beirut Express,Baba Ghanouj,Charred eggplant dip with pomegranate molasses,AED 79,false,true,false
r-002-i-020,r-002,Beirut Express,Knafeh,Sweet cheese pastry soaked in rose syrup,AED 88,false,true,false
r-002-i-021,r-002,Beirut Express,Baklava,Layered filo pastry with pistachio and honey,AED 14,false,true,true
r-002-i-022,r-002,Beirut Express,Atayef,Stuffed pancakes with walnuts and syrup,AED 58,false,true,false
r-002-i-023,r-002,Beirut Express,Arabic Coffee,"Cardamom-spiced coffee, finely brewed",AED 51,false,true,true
r-002-i-024,r-002,Beirut Express,Fresh Lemonade,"Mint, lemon and ice",AED 42,false,true,false
r-002-i-025,r-002,Beirut Express,Classic Shawarma Wrap,"Marinated chicken, garlic sauce, pickles in saj bread",AED 22,false,false,true
r-002-i-026,r-002,Beirut Express,Classic Beef Shawarma,"Spiced beef, tahini, tomato, parsley",AED 74,false,false,false
r-002-i-027,r-002,Beirut Express,Classic Falafel Plate,Crispy chickpea fritters with tahini and salad,AED 80,false,true,false
r-002-i-028,r-002,Beirut Express,Classic Hummus,Smooth chickpea dip with olive oil and warm pita,AED 28,false,true,false
r-002-i-029,r-002,Beirut Express,Classic Moutabal,Smoky grilled eggplant blended with tahini and lemon,AED 82,false,true,false
r-002-i-030,r-002,Beirut Express,Classic Tabbouleh,"Parsley salad with bulgur, tomato, mint and lemon",AED 79,false,true,false
r-002-i-031,r-002,Beirut Express,Classic Fattoush,Crunchy fresh salad with sumac and toasted bread,AED 66,false,true,false
r-002-i-032,r-002,Beirut Express,Classic Mixed Grill,"Skewers of shish taouk, kafta and lamb kebab",AED 81,false,false,false
r-002-i-033,r-002,Beirut Express,Classic Shish Taouk,Grilled chicken cubes marinated in garlic and yogurt,AED 37,false,false,false
r-002-i-034,r-002,Beirut Express,Classic Kafta Skewer,"Minced lamb with parsley and onion, charcoal grilled",AED 63,true,false,false
r-002-i-035,r-002,Beirut Express,Classic Manakish Zaatar,Stone-baked flatbread with zaatar and olive oil,AED 95,false,true,false
r-002-i-036,r-002,Beirut Express,Classic Manakish Cheese,Stone-baked flatbread with akkawi cheese,AED 78,false,true,false
r-002-i-037,r-002,Beirut Express,Classic Kibbeh,Bulgur shells stuffed with spiced minced meat,AED 43,false,false,false
r-002-i-038,r-002,Beirut Express,Classic Sambousek,Crispy pastries filled with cheese or meat,AED 55,false,false,true
r-002-i-039,r-002,Beirut Express,Classic Warak Enab,"Vine leaves stuffed with rice, tomato and herbs",AED 82,false,true,false
r-002-i-040,r-002,Beirut Express,Classic Mujadara,Lentils and rice topped with caramelised onions,AED 40,false,true,true
r-002-i-041,r-002,Beirut Express,Classic Lamb Mandi,Slow-cooked lamb on saffron rice,AED 92,false,false,true
r-002-i-042,r-002,Beirut Express,Classic Chicken Mandi,Smoky roasted chicken on aromatic rice,AED 20,false,false,false
r-002-i-043,r-002,Beirut Express,Classic Mixed Mezze,Chef's selection of cold and hot mezze,AED 54,false,true,true
r-002-i-044,r-002,Beirut Express,Classic Baba Ghanouj,Charred eggplant dip with pomegranate molasses,AED 42,false,true,false
r-002-i-045,r-002,Beirut Express,Classic Knafeh,Sweet cheese pastry soaked in rose syrup,AED 74,false,true,false
r-002-i-046,r-002,Beirut Express,Classic Baklava,Layered filo pastry with pistachio and honey,AED 28,false,true,false
r-002-i-047,r-002,Beirut Express,Classic Atayef,Stuffed pancakes with walnuts and syrup,AED 85,false,true,false
r-002-i-048,r-002,Beirut Express,Classic Arabic Coffee,"Cardamom-spiced coffee, finely brewed",AED 43,false,true,false
r-002-i-049,r-002,Beirut Express,Classic Fresh Lemonade,"Mint, lemon and ice",AED 64,false,true,false
r-003-i-000,r-003,Cedars Kitchen,Shawarma Wrap,"Marinated chicken, garlic sauce, pickles in saj bread",AED 64,false,false,false
r-003-i-001,r-003,Cedars Kitchen,Beef Shawarma,"Spiced beef, tahini, tomato, parsley",AED 18,false,false,false
r-003-i-002,r-003,Cedars Kitchen,Falafel Plate,Crispy chickpea fritters with tahini and salad,AED 94,false,true,true
r-003-i-003,r-003,Cedars Kitchen,Hummus,Smooth chickpea dip with olive oil and warm pita,AED 63,false,true,false
r-003-i-004,r-003,Cedars Kitchen,Moutabal,Smoky grilled eggplant blended with tahini and lemon,AED 25,false,true,true
r-003-i-005,r-003,Cedars Kitchen,Tabbouleh,"Parsley salad with bulgur, tomato, mint and lemon",AED 36,false,true,false
r-003-i-006,r-003,Cedars Kitchen,Fattoush,Crunchy fresh salad with sumac and toasted bread,AED 29,false,true,false
r-003-i-007,r-003,Cedars Kitchen,Mixed Grill,"Skewers of shish taouk, kafta and lamb kebab",AED 47,false,false,false
r-003-i-008,r-003,Cedars Kitchen,Shish Taouk,Grilled chicken cubes marinated in garlic and yogurt,AED 21,false,false,false
r-003-i-009,r-003,Cedars Kitchen,Kafta Skewer,"Minced lamb with parsley and onion, charcoal grilled",AED 82,true,false,true
r-003-i-010,r-003,Cedars Kitchen,Manakish Zaatar,Stone-baked flatbread with zaatar and olive oil,AED 95,false,true,false
r-003-i-011,r-003,Cedars Kitchen,Manakish Cheese,Stone-baked flatbread with akkawi cheese,AED 13,false,true,false
r-003-i-012,r-003,Cedars Kitchen,Kibbeh,Bulgur shells stuffed with spiced minced meat,AED 42,false,false,true
r-003-i-013,r-003,Cedars Kitchen,Sambousek,Crispy pastries filled with cheese or meat,AED 74,false,false,false
r-003-i-014,r-003,Cedars Kitchen,Warak Enab,"Vine leaves stuffed with rice, tomato and herbs",AED 63,false,true,false
r-003-i-015,r-003,Cedars Kitchen,Mujadara,Lentils and rice topped with caramelised onions,AED 33,false,true,false
r-003-i-016,r-003,Cedars Kitchen,Lamb Mandi,Slow-cooked lamb on saffron rice,AED 61,false,false,false
r-003-i-017,r-003,Cedars Kitchen,Chicken Mandi,Smoky roasted chicken on aromatic rice,AED 70,false,false,false
r-003-i-018,r-003,Cedars Kitchen,Mixed Mezze,Chef's selection of cold and hot mezze,AED 83,false,true,false
r-003-i-019,r-003,Cedars Kitchen,Baba Ghanouj,Charred eggplant dip with pomegranate molasses,AED 74,false,true,true
r-003-i-020,r-003,Cedars Kitchen,Knafeh,Sweet cheese pastry soaked in rose syrup,AED 49,false,true,true
r-003-i-021,r-003,Cedars Kitchen,Baklava,Layered filo pastry with pistachio and honey,AED 19,false,true,false
r-003-i-022,r-003,Cedars Kitchen,Atayef,Stuffed pancakes with walnuts and syrup,AED 81,false,true,true
r-003-i-023,r-003,Cedars Kitchen,Arabic Coffee,"Cardamom-spiced coffee, finely brewed",AED 52,false,true,true
r-003-i-024,r-003,Cedars Kitchen,Fresh Lemonade,"Mint, lemon and ice",AED 86,false,true,false
r-003-i-025,r-003,Cedars Kitchen,Classic Shawarma Wrap,"Marinated chicken, garlic sauce, pickles in saj bread",AED 79,false,false,false
r-003-i-026,r-003,Cedars Kitchen,Classic Beef Shawarma,"Spiced beef, tahini, tomato, parsley",AED 77,false,false,true
r-003-i-027,r-003,Cedars Kitchen,Classic Falafel Plate,Crispy chickpea fritters with tahini and salad,AED 35,false,true,true
r-003-i-028,r-003,Cedars Kitchen,Classic Hummus,Smooth chickpea dip with olive oil and warm pita,AED 20,false,true,false
r-003-i-029,r-003,Cedars Kitchen,Classic Moutabal,Smoky grilled eggplant blended with tahini and lemon,AED 42,false,true,false
r-003-i-030,r-003,Cedars Kitchen,Classic Tabbouleh,"Parsley salad with bulgur, tomato, mint and lemon",AED 84,false,true,false
r-003-i-031,r-003,Cedars Kitchen,Classic Fattoush,Crunchy fresh salad with sumac and toasted bread,AED 88,false,true,true
r-003-i-032,r-003,Cedars Kitchen,Classic Mixed Grill,"Skewers of shish taouk, kafta and lamb kebab",AED 22,false,false,false
r-003-i-033,r-003,Cedars Kitchen,Classic Shish Taouk,Grilled chicken cubes marinated in garlic and yogurt,AED 86,false,false,false
r-003-i-034,r-003,Cedars Kitchen,Classic Kafta Skewer,"Minced lamb with parsley and onion, charcoal grilled",AED 52,true,false,false
r-003-i-035,r-003,Cedars Kitchen,Classic Manakish Zaatar,Stone-baked flatbread with zaatar and olive oil,AED 38,false,true,false
r-003-i-036,r-003,Cedars Kitchen,Classic Manakish Cheese,Stone-baked flatbread with akkawi cheese,AED 52,false,true,false
r-003-i-037,r-003,Cedars Kitchen,Classic Kibbeh,Bulgur shells stuffed with spiced minced meat,AED 62,false,false,true
r-003-i-038,r-003,Cedars Kitchen,Classic Sambousek,Crispy pastries filled with cheese or meat,AED 94,false,false,false
r-003-i-039,r-003,Cedars Kitchen,Classic Warak Enab,"Vine leaves stuffed with rice, tomato and herbs",AED 52,false,true,false
r-003-i-040,r-003,Cedars Kitchen,Classic Mujadara,Lentils and rice topped with caramelised onions,AED 21,false,true,true
r-003-i-041,r-003,Cedars Kitchen,Classic Lamb Mandi,Slow-cooked lamb on saffron rice,AED 91,false,false,false
r-003-i-042,r-003,Cedars Kitchen,Classic Chicken Mandi,Smoky roasted chicken on aromatic rice,AED 24,false,false,true
r-003-i-043,r-003,Cedars Kitchen,Classic Mixed Mezze,Chef's selection of cold and hot mezze,AED 39,false,true,false
r-003-i-044,r-003,Cedars Kitchen,Classic Baba Ghanouj,Charred eggplant dip with pomegranate molasses,AED 28,false,true,false
r-003-i-045,r-003,Cedars Kitchen,Classic Knafeh,Sweet cheese pastry soaked in rose syrup,AED 20,false,true,false
r-003-i-046,r-003,Cedars Kitchen,Classic Baklava,Layered filo pastry with pistachio and honey,AED 59,false,true,false
r-003-i-047,r-003,Cedars Kitchen,Classic Atayef,Stuffed pancakes with walnuts and syrup,AED 68,false,true,false
r-003-i-048,r-003,Cedars Kitchen,Classic Arabic Coffee,"Cardamom-spiced coffee, finely brewed",AED 50,false,true,false
r-003-i-049,r-003,Cedars Kitchen,Classic Fresh Lemonade,"Mint, lemon and ice",AED 95,false,true,false
r-004-i-000,r-004,Zaatar w Zeit,Shawarma Wrap,"Marinated chicken, garlic sauce, pickles in saj bread",AED 45,false,false,true
r-004-i-001,r-004,Zaatar w Zeit,Beef Shawarma,"Spiced beef, tahini, tomato, parsley",AED 25,false,false,false
r-004-i-002,r-004,Zaatar w Zeit,Falafel Plate,Crispy chickpea fritters with tahini and salad,AED 31,false,true,false
r-004-i-003,r-004,Zaatar w Zeit,Hummus,Smooth chickpea dip with olive oil and warm pita,AED 89,false,true,true
r-004-i-004,r-004,Zaatar w Zeit,Moutabal,Smoky grilled eggplant blended with tahini and lemon,AED 55,false,true,true
r-004-i-005,r-004,Zaatar w Zeit,Tabbouleh,"Parsley salad with bulgur, tomato, mint and lemon",AED 93,false,true,false
r-004-i-006,r-004,Zaatar w Zeit,Fattoush,Crunchy fresh salad with sumac and toasted bread,AED 76,false,true,false
r-004-i-007,r-004,Zaatar w Zeit,Mixed Grill,"Skewers of shish taouk, kafta and lamb kebab",AED 18,false,false,true
r-004-i-008,r-004,Zaatar w Zeit,Shish Taouk,Grilled chicken cubes marinated in garlic and yogurt,AED 66,false,false,false
r-004-i-009,r-004,Zaatar w Zeit,Kafta Skewer,"Minced lamb with parsley and onion, charcoal grilled",AED 17,true,false,true
r-004-i-010,r-004,Zaatar w Zeit,Manakish Zaatar,Stone-baked flatbread with zaatar and olive oil,AED 28,false,true,false
r-004-i-011,r-004,Zaatar w Zeit,Manakish Cheese,Stone-baked flatbread with akkawi cheese,AED 45,false,true,true
r-004-i-012,r-004,Zaatar w Zeit,Kibbeh,Bulgur shells stuffed with spiced minced meat,AED 68,false,false,false
r-004-i-013,r-004,Zaatar w Zeit,Sambousek,Crispy pastries filled with cheese or meat,AED 66,false,false,false
r-004-i-014,r-004,Zaatar w Zeit,Warak Enab,"Vine leaves stuffed with rice, tomato and herbs",AED 26,false,true,true
r-004-i-015,r-004,Zaatar w Zeit,Mujadara,Lentils and rice topped with caramelised onions,AED 31,false,true,false
r-004-i-016,r-004,Zaatar w Zeit,Lamb Mandi,Slow-cooked lamb on saffron rice,AED 59,false,false,false
r-004-i-017,r-004,Zaatar w Zeit,Chicken Mandi,Smoky roasted chicken on aromatic rice,AED 30,false,false,false
r-004-i-018,r-004,Zaatar w Zeit,Mixed Mezze,Chef's selection of cold and hot mezze,AED 17,false,true,false
r-004-i-019,r-004,Zaatar w Zeit,Baba Ghanouj,Charred eggplant dip with pomegranate molasses,AED 17,false,true,false
r-004-i-020,r-004,Zaatar w Zeit,Knafeh,Sweet cheese pastry soaked in rose syrup,AED 38,false,true,false
r-004-i-021,r-004,Zaatar w Zeit,Baklava,Layered filo pastry with pistachio and honey,AED 25,false,true,false
r-004-i-022,r-004,Zaatar w Zeit,Atayef,Stuffed pancakes with walnuts and syrup,AED 83,false,true,false
r-004-i-023,r-004,Zaatar w Zeit,Arabic Coffee,"Cardamom-spiced coffee, finely brewed",AED 64,false,true,false
r-004-i-024,r-004,Zaatar w Zeit,Fresh Lemonade,"Mint, lemon and ice",AED 31,false,true,false
r-004-i-025,r-004,Zaatar w Zeit,Classic Shawarma Wrap,"Marinated chicken, garlic sauce, pickles in saj bread",AED 42,false,false,false
r-004-i-026,r-004,Zaatar w Zeit,Classic Beef Shawarma,"Spiced beef, tahini, tomato, parsley",AED 34,false,false,false
r-004-i-027,r-004,Zaatar w Zeit,Classic Falafel Plate,Crispy chickpea fritters with tahini and salad,AED 15,false,true,false
r-004-i-028,r-004,Zaatar w Zeit,Classic Hummus,Smooth chickpea dip with olive oil and warm pita,AED 54,false,true,false
r-004-i-029,r-004,Zaatar w Zeit,Classic Moutabal,Smoky grilled eggplant blended with tahini and lemon,AED 64,false,true,false
r-004-i-030,r-004,Zaatar w Zeit,Classic Tabbouleh,"Parsley salad with bulgur, tomato, mint and lemon",AED 43,false,true,false
r-004-i-031,r-004,Zaatar w Zeit,Classic Fattoush,Crunchy fresh salad with sumac and toasted bread,AED 25,false,true,false
r-004-i-032,r-004,Zaatar w Zeit,Classic Mixed Grill,"Skewers of shish taouk, kafta and lamb kebab",AED 16,false,false,false
r-004-i-033,r-004,Zaatar w Zeit,Classic Shish Taouk,Grilled chicken cubes marinated in garlic and yogurt,AED 40,false,false,false
r-004-i-034,r-004,Zaatar w Zeit,Classic Kafta Skewer,"Minced lamb with parsley and onion, charcoal grilled",AED 70,true,false,false
r-004-i-035,r-004,Zaatar w Zeit,Classic Manakish Zaatar,Stone-baked flatbread with zaatar and olive oil,AED 41,false,true,false
r-004-i-036,r-004,Zaatar w Zeit,Classic Manakish Cheese,Stone-baked flatbread with akkawi cheese,AED 36,false,true,false
r-004-i-037,r-004,Zaatar w Zeit,Classic Kibbeh,Bulgur shells stuffed with spiced minced meat,AED 47,false,false,false
r-004-i-038,r-004,Zaatar w Zeit,Classic Sambousek,Crispy pastries filled with cheese or meat,AED 47,false,false,false
r-004-i-039,r-004,Zaatar w Zeit,Classic Warak Enab,"Vine leaves stuffed with rice, tomato and herbs",AED 77,false,true,false
r-004-i-040,r-004,Zaatar w Zeit,Classic Mujadara,Lentils and rice topped with caramelised onions,AED 80,false,true,false
r-004-i-041,r-004,Zaatar w Zeit,Classic Lamb Mandi,Slow-cooked lamb on saffron rice,AED 15,false,false,true
r-004-i-042,r-004,Zaatar w Zeit,Classic Chicken Mandi,Smoky roasted chicken on aromatic rice,AED 45,false,false,false
r-004-i-043,r-004,Zaatar w Zeit,Classic Mixed Mezze,Chef's selection of cold and hot mezze,AED 45,false,true,true
r-004-i-044,r-004,Zaatar w Zeit,Classic Baba Ghanouj,Charred eggplant dip with pomegranate molasses,AED 88,false,true,false
r-004-i-045,r-004,Zaatar w Zeit,Classic Knafeh,Sweet cheese pastry soaked in rose syrup,AED 52,false,true,false
r-004-i-046,r-004,Zaatar w Zeit,Classic Baklava,Layered filo pastry with pistachio and honey,AED 77,false,true,true
r-004-i-047,r-004,Zaatar w Zeit,Classic Atayef,Stuffed pancakes with walnuts and syrup,AED 85,false,true,false
r-004-i-048,r-004,Zaatar w Zeit,Classic Arabic Coffee,"Cardamom-spiced coffee, finely brewed",AED 17,false,true,false
r-004-i-049,r-004,Zaatar w Zeit,Classic Fresh Lemonade,"Mint, lemon and ice",AED 12,false,true,false
r-005-i-000,r-005,Levant House,Shawarma Wrap,"Marinated chicken, garlic sauce, pickles in saj bread",AED 20,false,false,false
r-005-i-001,r-005,Levant House,Beef Shawarma,"Spiced beef, tahini, tomato, parsley",AED 54,false,false,false
r-005-i-002,r-005,Levant House,Falafel Plate,Crispy chickpea fritters with tahini and salad,AED 27,false,true,false
r-005-i-003,r-005,Levant House,Hummus,Smooth chickpea dip with olive oil and warm pita,AED 50,false,true,false
r-005-i-004,r-005,Levant House,Moutabal,Smoky grilled eggplant blended with tahini and lemon,AED 64,false,true,false
r-005-i-005,r-005,Levant House,Tabbouleh,"Parsley salad with bulgur, tomato, mint and lemon",AED 49,false,true,false
r-005-i-006,r-005,Levant House,Fattoush,Crunchy fresh salad with sumac and toasted bread,AED 36,false,true,false
r-005-i-007,r-005,Levant House,Mixed Grill,"Skewers of shish taouk, kafta and lamb kebab",AED 60,false,false,false
r-005-i-008,r-005,Levant House,Shish Taouk,Grilled chicken cubes marinated in garlic and yogurt,AED 34,false,false,false
r-005-i-009,r-005,Levant House,Kafta Skewer,"Minced lamb with parsley and onion, charcoal grilled",AED 50,true,false,false
r-005-i-010,r-005,Levant House,Manakish Zaatar,Stone-baked flatbread with zaatar and olive oil,AED 12,false,true,false
r-005-i-011,r-005,Levant House,Manakish Cheese,Stone-baked flatbread with akkawi cheese,AED 38,false,true,false
r-005-i-012,r-005,Levant House,Kibbeh,Bulgur shells stuffed with spiced minced meat,AED 86,false,false,false
r-005-i-013,r-005,Levant House,Sambousek,Crispy pastries filled with cheese or meat,AED 53,false,false,false
r-005-i-014,r-005,Levant House,Warak Enab,"Vine leaves stuffed with rice, tomato and herbs",AED 68,false,true,false
r-005-i-015,r-005,Levant House,Mujadara,Lentils and rice topped with caramelised onions,AED 77,false,true,false
r-005-i-016,r-005,Levant House,Lamb Mandi,Slow-cooked lamb on saffron rice,AED 33,false,false,false
r-005-i-017,r-005,Levant House,Chicken Mandi,Smoky roasted chicken on aromatic rice,AED 48,false,false,false
r-005-i-018,r-005,Levant House,Mixed Mezze,Chef's selection of cold and hot mezze,AED 93,false,true,false
r-005-i-019,r-005,Levant House,Baba Ghanouj,Charred eggplant dip with pomegranate molasses,AED 23,false,true,false
r-005-i-020,r-005,Levant House,Knafeh,Sweet cheese pastry soaked in rose syrup,AED 42,false,true,false
r-005-i-021,r-005,Levant House,Baklava,Layered filo pastry with pistachio and honey,AED 40,false,true,false
r-005-i-022,r-005,Levant House,Atayef,Stuffed pancakes with walnuts and syrup,AED 30,false,true,true
r-005-i-023,r-005,Levant House,Arabic Coffee,"Cardamom-spiced coffee, finely brewed",AED 43,false,true,false
r-005-i-024,r-005,Levant House,Fresh Lemonade,"Mint, lemon and ice",AED 90,false,true,false
r-005-i-025,r-005,Levant House,Classic Shawarma Wrap,"Marinated chicken, garlic sauce, pickles in saj bread",AED 21,false,false,false
r-005-i-026,r-005,Levant House,Classic Beef Shawarma,"Spiced beef, tahini, tomato, parsley",AED 92,false,false,false
r-005-i-027,r-005,Levant House,Classic Falafel Plate,Crispy chickpea fritters with tahini and salad,AED 61,false,true,false
r-005-i-028,r-005,Levant House,Classic Hummus,Smooth chickpea dip with olive oil and warm pita,AED 43,false,true,true
r-005-i-029,r-005,Levant House,Classic Moutabal,Smoky grilled eggplant blended with tahini and lemon,AED 12,false,true,false
